Region,"local authority: 
district / unitary",All Categories of people in employment,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach","Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Taxi,Bicycle,On foot,Other method of travel to work,Year
North East,County Durham,"227,894","20,652",323,"1,865","13,732","1,038","146,644","17,362","1,401","2,205","21,490","1,182","2,011"
North East,Darlington,"49,014","4,180",33,828,"3,380",191,"28,981","3,337",403,"1,151","6,284",246,"2,011"
North East,Gateshead,"91,877","6,383","4,270",705,"13,909",364,"50,236","5,830",453,"1,314","7,966",447,"2,011"
North East,Hartlepool,"37,767","2,473",33,469,"2,556",175,"22,863","3,157",673,706,"4,305",357,"2,011"
North East,Middlesbrough,"54,547","3,337",44,698,"4,868",195,"31,155","4,639",902,"1,375","6,769",565,"2,011"
North East,Newcastle upon Tyne,"119,335","8,430","6,304","1,381","21,728",345,"54,165","6,706","1,037","3,223","15,302",714,"2,011"
North East,North Tyneside,"96,026","6,997","8,523","1,385","8,606",471,"52,543","5,951",748,"2,345","7,559",898,"2,011"
North East,Northumberland,"146,901","17,894",659,"1,852","7,593",682,"90,566","9,283",523,"2,074","14,632","1,143","2,011"
North East,Redcar and Cleveland,"56,354","4,034",43,"1,175","3,314",255,"36,281","3,976",388,875,"5,335",678,"2,011"
North East,South Tyneside,"64,622","3,875","5,681","1,090","6,194",341,"35,011","3,774",303,"1,396","5,749","1,208","2,011"
North East,Stockton-on-Tees,"87,122","6,376",97,"1,115","5,023",410,"57,793","6,014",593,"1,693","7,101",907,"2,011"
North East,Sunderland,"121,511","7,705","2,762",894,"15,151",520,"70,607","9,356",740,"1,588","11,310",878,"2,011"
North West,Allerdale,"46,076","6,025",22,374,"1,730",228,"27,790","3,415",106,694,"5,496",196,"2,011"
North West,Barrow-in-Furness,"31,257","2,009",33,515,"1,593",542,"16,727","2,277",426,"1,620","5,302",213,"2,011"
North West,Blackburn with Darwen,"60,523","4,930",42,956,"3,240",315,"36,700","4,916","1,097",592,"7,460",275,"2,011"
North West,Blackpool,"61,419","6,173",40,512,"5,174",551,"32,816","4,578",565,"1,916","8,705",389,"2,011"
North West,Bolton,"123,367","10,086",274,"4,384","8,200",792,"76,681","8,189","1,537","1,261","11,435",528,"2,011"
North West,Burnley,"38,133","2,941",20,238,"3,170",212,"23,316","2,991",316,397,"4,375",157,"2,011"
North West,Bury,"88,036","7,689","4,234",523,"5,671",455,"55,361","4,819",690,"1,176","7,094",324,"2,011"
North West,Carlisle,"53,874","5,464",30,304,"3,691",294,"30,673","3,377",174,"1,390","8,245",232,"2,011"
North West,Cheshire East,"181,136","23,337",254,"4,971","3,267","1,169","116,931","8,993",504,"4,666","16,282",762,"2,011"
North West,Cheshire West and Chester,"160,138","17,178",257,"3,114","5,477","1,001","103,898","8,767",783,"4,200","14,669",794,"2,011"
North West,Chorley,"53,702","5,827",34,"1,261","1,575",375,"36,378","2,941",135,761,"4,227",188,"2,011"
North West,Copeland,"32,891","2,782",18,519,"1,532",272,"20,877","3,086",152,554,"2,958",141,"2,011"
North West,Eden,"27,461","5,771",20,206,578,86,"15,360","1,311",67,326,"3,601",135,"2,011"
North West,Fylde,"34,510","4,055",32,416,"1,339",235,"22,153","1,690",139,959,"3,325",167,"2,011"
North West,Halton,"57,577","3,696",38,"1,081","3,787",351,"37,640","3,988",321,"1,191","5,221",263,"2,011"
